"""All our dreams can come true, if we have the courage to pursue them.""",Walt Disney
"""The future belongs to those who believe in the beauty of their dreams.""",Eleanor Roosevelt
"""Dreams come true. Without that possibility, nature would not incite us to have them.""",John Updike
"""Dream as if you'll live forever. Live as if you'll die today.""",James Dean
"""Some men see things as they are and say why. I dream things that never were and say why not.""",George Bernard Shaw
"""Let us make our future now, and let us make our dreams tomorrow's reality.""",MalalaYousafzai
"""Show me a person who has never made a mistake and I'll show you someone who has never achieved much.""?",Joan Collins
"""Failure is the condiment that gives success its flavor.""",Truman Capote
"""Amateurs sit and wait for inspiration, the rest of us just get up and go to work.""?",Stephen King
"""You will never plough a field if you only turn it over in your mind.""",Irish proverb
"""Take the first step in faith. You don't have to see the whole staircase, just take the first step.""?","Martin Luther King, Jr."
"""Don't wait. The time will never be just right.""?",Napoleon Hill
"""The best way out is always through.""",Robert Frost
"""The greater the obstacle, the more glory in overcoming it.""",Molire
"""The man who moves a mountain begins by carrying away small stones.""?",Confucius
"""Failure is success in progress.""?",Albert Einstein
"""Great things are not done by impulse, but by a series of small things brought together.""",Vincent Van Gogh
"""Opportunity is missed by most people because it is dressed in overalls and looks like work.""",Thomas Jefferson
"""When we strive to become better than we are, everything around us becomes better too.""",Paulo Coelho
"""It will never rain roses: when we want to have more roses, we must plant more roses.""",George Eliot
"""He that can have patience can have what he will.""?",Benjamin Franklin
"""The strongest of all warriors are these two?Time and Patience.""",Leo Tolstoy
"""We have to continually be jumping off cliffs and developing our wings on the way down.""?",Kurt Vonnegut
"""Only those who will risk going too far can possibly find out how far one can go.""",T.S. Eliot
"There's no shortage of remarkable ideas, what missing is the will to execute them.",Seth Godin
"I have not failed. I've just found 10,000 ways that won't work.",Thomas Edison
Don't worry about failure; you only have to be right once.,Drew Houston
"Leadership is an action, not a position.",Donald McGannon
"Don't follow the crowd, let the crowd follow you.",Margaret Thatcher
Setting goals is the first step in turning the invisible into the visible.,Tony Robbins
"A goal is not always meant to be reached, it often serves simply as something to aim at.",Bruce Lee
"We may encounter many defeats, but we must not be defeated.",Maya Angelou
Success is walking from failure to failure with no loss of enthusiasm.,Winston Churchill
"Failure defeats losers, failure inspires winners.",Robert T. Kiyosaki
"Success is not final, failure is not fatal; it is the courage to continue that counts.",Winston Churchill
"There are no secrets to success. It is the result of preparation, hard work and learning from failure.",Colin Powell
